user_id,age,student,employed,cyc_freq,distance,time,speed
1,28,1,1,Daily,3.25,15,13
2,35,0,1,Daily,1.11,5,13.32
3,28,0,1,Daily,5.59,23,14.58
4,44,0,1,Less than once a month,3.24,24,8.1
5,42,0,1,Several times per week,7.81,26,18.02
6,36,0,1,Several times per week,3,20,9
7,45,0,1,Several times per week,13.03,51,15.33
8,54,0,1,Several times per week,6.21,39,9.55
9,39,0,1,Several times per week,13.95,50,16.74
10,44,0,0,Several times per month,7.4,44,10.09
11,29,0,1,Daily,4.36,20,13.08
12,32,0,1,Several times per week,5.02,27,11.16
13,40,0,1,Several times per week,5.01,23,13.07
14,29,0,1,Daily,2.62,15,10.48
15,26,1,1,Daily,10.94,34,19.31
16,39,0,1,Several times per week,12.28,40,18.42
17,33,0,1,Daily,10.02,45,13.36
18,32,1,1,Daily,9.34,40,14.01
19,43,0,1,Daily,7.02,28,15.04
20,29,0,0,Several times per week,3.22,12,16.1
21,51,0,1,Several times per week,3.4,21,9.71
22,36,0,1,Several times per week,5.19,21,14.83
23,29,0,1,Several times per week,4.34,17,15.32
24,30,0,1,Several times per week,4.89,19,15.44
25,30,0,1,Several times per week,2.17,10,13.02
26,35,0,1,Daily,6.04,31,11.69
27,27,0,1,Several times per week,0.87,6,8.7
28,37,0,1,Several times per week,6.85,26,15.81
29,27,0,1,Several times per week,3.09,22,8.43
30,25,0,1,Several times per week,8.1,32,15.19
31,25,1,1,Daily,1.25,6,12.5
32,39,0,1,Daily,3.76,21,10.74
33,51,0,1,Several times per month,11.28,50,13.54
34,61,0,1,Several times per week,12.21,35,20.93
35,26,0,0,Several times per week,1.39,5,16.68
36,29,0,1,Several times per month,4.72,20,14.16
37,33,0,1,Several times per week,2.32,7,19.89
38,29,0,1,Several times per month,9.35,35,16.03
39,41,0,1,Daily,6.33,25,15.19
40,23,0,1,Daily,6.44,15,25.76
41,40,0,1,Several times per week,3.34,11,18.22
42,31,0,1,Several times per month,8.46,38,13.36
43,38,0,1,Several times per week,3.45,18,11.5
44,46,0,1,Daily,6.16,22,16.8
45,47,0,1,Several times per week,6.58,23,17.17
46,32,0,1,Several times per month,9.39,36,15.65
47,36,0,1,Several times per month,9.09,18,30.3
48,36,0,1,Daily,2.15,19,6.79
49,44,1,1,Several times per week,9.29,41,13.6
50,52,0,1,Several times per week,5.32,26,12.28
51,25,0,1,Several times per week,5.31,25,12.74
52,36,0,1,Daily,0.63,4,9.45
53,27,0,1,Daily,1.78,9,11.87
54,44,0,1,Several times per month,8.77,34,15.48
55,51,0,1,Daily,3.74,14,16.03
56,24,0,1,Daily,5.18,23,13.51
57,48,0,1,Less than once a month,4.44,18,14.8
58,26,1,1,Daily,2.77,16,10.39
59,44,1,1,Several times per week,4.84,22,13.2
60,36,0,1,Daily,2.7,12,13.5
61,42,0,1,Several times per week,10.48,51,12.33
62,32,0,1,Daily,11.01,38,17.38
63,26,0,1,Several times per week,1.22,5,14.64
64,40,0,1,Several times per month,7.89,43,11.01
65,32,0,0,Daily,2.52,8,18.9
66,45,0,1,Several times per week,9.25,35,15.86
67,31,0,1,Several times per week,2.86,15,11.44
68,41,0,1,Several times per week,2.96,14,12.69
69,42,0,1,Several times per week,8.05,31,15.58
70,34,0,0,Daily,12.21,55,13.32
71,34,0,1,Several times per week,5.24,23,13.67
72,26,0,1,Daily,11.17,36,18.62
73,43,0,1,Several times per week,8.74,37,14.17
74,31,0,1,Several times per month,7.31,41,10.7
75,36,0,1,Several times per week,7.31,21,20.89
76,48,0,1,Several times per week,7.18,24,17.95
77,63,1,1,Several times per week,6.56,40,9.84
78,37,0,0,Several times per week,4.25,17,15
79,33,0,1,Several times per week,6.8,31,13.16
80,27,0,1,Daily,7.74,37,12.55
81,29,0,1,Daily,8.17,28,17.51
82,41,0,1,Several times per week,2.41,10,14.46
83,38,0,1,Several times per month,1.41,11,7.69
84,30,0,1,Several times per week,8.67,35,14.86
85,29,0,1,Daily,2.31,10,13.86
86,22,1,0,Daily,0.85,4,12.75
87,61,0,1,Several times per month,7,38,11.05
88,25,1,1,Several times per week,6.07,29,12.56
89,40,0,1,Several times per week,4.56,21,13.03
90,34,0,1,Daily,3.9,16,14.63
91,36,0,1,Daily,3,13,13.85
92,38,0,1,Daily,1.31,5,15.72
93,29,0,1,Several times per week,0.52,3,10.4
94,36,0,1,Several times per month,3.8,14,16.29
95,29,0,1,Several times per week,5.3,21,15.14
96,33,0,1,Daily,7.92,49,9.7
97,29,1,0,Several times per week,3.52,15,14.08
98,37,0,1,Daily,3.13,12,15.65
99,43,0,1,Daily,9.72,45,12.96
100,30,0,1,Daily,3.85,15,15.4
101,40,0,1,Several times per week,12.17,50,14.6
102,28,0,0,Daily,7.03,32,13.18
103,25,1,0,Daily,13.43,37,21.78
104,44,0,1,Several times per week,9.29,41,13.6
105,42,0,1,Daily,1.01,6,10.1
106,33,0,1,Several times per week,9.15,43,12.77
107,37,0,1,Daily,13.47,41,19.71
108,32,0,1,Daily,6.1,35,10.46
109,51,0,1,Several times per week,5.17,27,11.49
110,54,0,1,Daily,2.78,27,6.18
111,30,1,0,Daily,7.19,26,16.59
112,34,0,1,Daily,9.12,36,15.2
113,34,0,1,Several times per month,0.74,4,11.1
114,43,0,1,Several times per week,12.85,25,30.84
115,33,1,1,Several times per week,8.31,42,11.87
116,29,0,0,Several times per week,3.22,14,13.8
117,46,0,1,Daily,8.14,40,12.21
118,41,0,1,Several times per week,3,42,4.29
119,44,0,1,Daily,7.84,48,9.8
120,46,0,1,Several times per week,5.88,26,13.57
121,38,0,1,Several times per week,9.01,41,13.19
