student,live,class,videogames,sports,clubs
1,Off campus,Bus,Yes,No,Yes
2,On campus,Walk,Yes,No,No
3,Off campus,Walk,No,No,Yes
4,Off campus,Bus,No,Yes,Yes
5,Off campus,Bike,No,Yes,Yes
6,On campus,Walk,Yes,Yes,Yes
7,On campus,Walk,Yes,No,Yes
8,On campus,Walk,No,No,No
9,On campus,Bike,Yes,No,Yes
10,Off campus,Walk,No,Yes,Yes
11,Off campus,Walk,No,No,No
12,Off campus,Walk,No,No,No
13,Off campus,Bike,Yes,No,Yes
14,On campus,Walk,Yes,Yes,Yes
15,On campus,Walk,No,Yes,Yes
16,Off campus,Bus,Yes,No,Yes
17,Off campus,Bus,Yes,No,Yes
18,On campus,Bike,Yes,No,Yes
19,On campus,Walk,Yes,No,No
20,Off campus,Walk,No,No,Yes
