Plot_ID,Area,Category,AGB
1,Ipeti,premontane wet forest,69.99
2,Ipeti,premontane wet forest,148.91
3,Ipeti,tropical rainforests,72.56
4,Ipeti,tropical rainforests,168.46
5,Ipeti,premontane wet forest,121.82
6,Ipeti,tropical rainforests,115.91
7,Ipeti,premontane wet forest,104.25
8,Ipeti,tropical rainforests,28.4
9,Ipeti,tropical rainforests,41.5
10,Ipeti,premontane wet forest,156.48
11,Ipeti,tropical rainforests,153.74
12,Ipeti,premontane wet forest,169.78
13,Ipeti,tropical rainforests,59.21
14,Ipeti,premontane wet forest,1
15,Ipeti,premontane wet forest,28.28
16,Ipeti,premontane wet forest,25.74
17,Ipeti,premontane wet forest,174.7
18,Ipeti,premontane wet forest,15.35
19,Ipeti,premontane wet forest,285.45
20,Ipeti,premontane wet forest,145.89
21,Maje,tropical rainforests,155.56
22,Maje,tropical rainforests,4.55
23,Maje,tropical rainforests,183.1
24,Maje,premontane wet forest,205.3
25,Maje,premontane wet forest,322.06
26,Maje,premontane wet forest,186.82
27,Maje,premontane wet forest,147.34
28,Maje,premontane wet forest,197
29,Maje,premontane wet forest,277.16
30,Maje,premontane wet forest,275.35
31,Maje,premontane wet forest,204.13
32,Maje,premontane wet forest,218.69
33,Maje,tropical rainforests,195.99
34,Maje,tropical rainforests,108.11
35,Maje,tropical rainforests,94.54
36,Maje,tropical rainforests,123.02
37,Maje,tropical rainforests,142.09
38,Maje,tropical rainforests,164.83
