date,year,holiday,workingday,weather,temp,feelslike,hum,windspeed,ridership
1/12/21,y1,no,yes,clear or partly cloudy,0.1,-5.4,60,20,1162
1/17/21,y1,yes,no,cloudy,0.3,-4.3,54,13,1000
1/23/21,y1,no,no,clear or partly cloudy,-3.5,-9.5,44,17,986
1/26/21,y1,no,yes,light rain or snow,2.2,-2.6,86,20,506
2/2/21,y1,no,yes,cloudy,4.2,0.8,78,18,1526
2/4/21,y1,no,yes,cloudy,1.9,-0.9,59,9,1708
2/21/21,y1,yes,no,cloudy,6.3,2.7,61,21,1107
2/22/21,y1,no,yes,clear or partly cloudy,0.6,-3.7,58,13,1450
2/25/21,y1,no,yes,cloudy,9.1,7.1,71,23,1461
3/9/21,y1,no,yes,cloudy,5.9,2.9,78,15,1891
3/11/21,y1,no,yes,cloudy,6.9,4.1,65,16,1977
3/16/21,y1,no,yes,cloudy,9.2,8.2,78,14,2192
3/19/21,y1,no,no,clear or partly cloudy,14.2,14.8,38,25,3117
3/20/21,y1,no,no,clear or partly cloudy,7.6,5.5,47,14,2471
3/23/21,y1,no,yes,cloudy,8.3,6.3,84,16,2121
3/26/21,y1,no,no,clear or partly cloudy,4.5,1,39,14,2496
3/28/21,y1,no,yes,clear or partly cloudy,4.4,1,30,14,2028
3/31/21,y1,no,yes,light rain or snow,4.6,1,92,15,1685
4/6/21,y1,no,yes,clear or partly cloudy,10.4,9.6,47,18,2808
4/14/21,y1,no,yes,clear or partly cloudy,14,14.5,54,7,3267
4/15/21,y1,yes,no,clear or partly cloudy,13,13.2,67,15,3126
4/16/21,y1,no,no,light rain or snow,12.2,12.1,89,23,795
4/18/21,y1,no,yes,clear or partly cloudy,16.1,17.2,54,11,3429
4/21/21,y1,no,yes,clear or partly cloudy,13.6,14,41,22,4189
4/28/21,y1,no,yes,cloudy,21,22.2,70,22,4058
5/4/21,y1,no,yes,cloudy,11.5,10.7,74,22,2633
5/12/21,y1,no,yes,clear or partly cloudy,17.1,18.5,75,13,4864
5/13/21,y1,no,yes,cloudy,16.1,16.6,86,12,4105
5/20/21,y1,no,yes,clear or partly cloudy,17.2,18.9,72,8,4917
5/23/21,y1,no,yes,cloudy,21.7,23,81,16,4274
5/24/21,y1,no,yes,cloudy,23,23.9,74,14,4492
5/25/21,y1,no,yes,clear or partly cloudy,23.1,24.6,70,10,4978
5/28/21,y1,no,no,clear or partly cloudy,22.8,24.4,73,15,4758
